timestamp,latency_ms,jitter_ms,packet_loss_rate,retransmission_rate,timeout_events,retry_events,throughput_mbps,dns_failure_events,tls_failure_events,quic_blocked_ratio
2026-01-01 00:00:00,20,3,0.1,0.2,0,1,95,0,0,0
2026-01-01 00:00:01,310,95,0.1,0.2,0,1,94,0,0,0
2026-01-01 00:00:02,22,4,0.1,0.2,0,1,96,0,0,0
2026-01-01 00:00:03,325,100,0.1,0.2,0,1,93,0,0,0
2026-01-01 00:00:04,21,3,0.1,0.2,0,1,95,0,0,0
2026-01-01 00:00:05,315,98,0.1,0.2,0,1,94,0,0,0
2026-01-01 00:00:06,23,4,0.1,0.2,0,1,96,0,0,0
2026-01-01 00:00:07,330,101,0.1,0.2,0,1,93,0,0,0
2026-01-01 00:00:08,20,3,0.1,0.2,0,1,95,0,0,0
2026-01-01 00:00:09,318,99,0.1,0.2,0,1,94,0,0,0
2026-01-01 00:00:10,22,4,0.1,0.2,0,1,96,0,0,0
2026-01-01 00:00:11,335,102,0.1,0.2,0,1,93,0,0,0
