timestamp,latency_ms,jitter_ms,packet_loss_rate,retransmission_rate,timeout_events,retry_events,throughput_mbps,dns_failure_events,tls_failure_events,quic_blocked_ratio
2026-01-01 00:00:00,245,62,0.0,0.1,1,3,5.0,0,0,0
2026-01-01 00:00:01,260,65,0.0,0.1,1,3,4.8,0,0,0
2026-01-01 00:00:02,250,63,0.0,0.1,1,3,5.1,0,0,0
2026-01-01 00:00:03,270,66,0.0,0.1,1,3,4.7,0,0,0
2026-01-01 00:00:04,248,62,0.0,0.1,1,3,5.0,0,0,0
2026-01-01 00:00:05,265,65,0.0,0.1,1,3,4.8,0,0,0
2026-01-01 00:00:06,252,63,0.0,0.1,1,3,5.1,0,0,0
2026-01-01 00:00:07,275,66,0.0,0.1,1,3,4.7,0,0,0
2026-01-01 00:00:08,246,62,0.0,0.1,1,3,5.0,0,0,0
2026-01-01 00:00:09,268,65,0.0,0.1,1,3,4.8,0,0,0
2026-01-01 00:00:10,251,63,0.0,0.1,1,3,5.1,0,0,0
2026-01-01 00:00:11,278,66,0.0,0.1,1,3,4.7,0,0,0
