timestamp,latency_ms,jitter_ms,packet_loss_rate,retransmission_rate,timeout_events,retry_events,throughput_mbps,dns_failure_events,tls_failure_events,quic_blocked_ratio
2026-01-01 00:00:00,155,40,0.7,1.4,3,5,28,0,0,0
2026-01-01 00:00:01,190,55,0.7,1.4,3,5,24,0,0,0
2026-01-01 00:00:02,130,35,0.6,1.3,2,4,32,0,0,0
2026-01-01 00:00:03,210,60,0.7,1.4,3,5,22,0,0,0
2026-01-01 00:00:04,150,42,0.7,1.4,3,5,27,0,0,0
2026-01-01 00:00:05,195,58,0.7,1.4,3,5,23,0,0,0
2026-01-01 00:00:06,135,37,0.6,1.3,2,4,31,0,0,0
2026-01-01 00:00:07,215,62,0.7,1.4,3,5,21,0,0,0
2026-01-01 00:00:08,152,41,0.7,1.4,3,5,28,0,0,0
2026-01-01 00:00:09,198,57,0.7,1.4,3,5,24,0,0,0
2026-01-01 00:00:10,138,36,0.6,1.3,2,4,32,0,0,0
2026-01-01 00:00:11,218,63,0.7,1.4,3,5,22,0,0,0
