timestamp,latency_ms,jitter_ms,packet_loss_rate,retransmission_rate,timeout_events,retry_events,throughput_mbps,dns_failure_events,tls_failure_events,quic_blocked_ratio
2026-01-01 00:00:00,42,2,8.0,0.2,18,1,0.8,0,0,0
2026-01-01 00:00:01,43,2,8.1,0.2,19,1,0.7,0,0,0
2026-01-01 00:00:02,41,1,7.9,0.3,20,2,0.9,0,0,0
2026-01-01 00:00:03,44,2,8.2,0.2,18,1,0.6,0,0,0
2026-01-01 00:00:04,42,1,7.8,0.3,21,2,0.8,0,0,0
2026-01-01 00:00:05,43,2,8.0,0.2,20,1,0.7,0,0,0
2026-01-01 00:00:06,41,1,7.9,0.3,19,2,0.9,0,0,0
2026-01-01 00:00:07,44,2,8.1,0.2,18,1,0.6,0,0,0
2026-01-01 00:00:08,42,1,8.0,0.2,20,2,0.8,0,0,0
2026-01-01 00:00:09,43,2,8.2,0.3,21,1,0.7,0,0,0
2026-01-01 00:00:10,41,1,7.8,0.2,19,2,0.9,0,0,0
2026-01-01 00:00:11,44,2,8.0,0.3,20,1,0.6,0,0,0
