timestamp,latency_ms,jitter_ms,packet_loss_rate,retransmission_rate,timeout_events,retry_events,throughput_mbps,dns_failure_events,tls_failure_events,quic_blocked_ratio
2026-01-01 00:00:00,55,5,0.1,0.1,24,30,70,0,0,0
2026-01-01 00:00:01,57,6,0.1,0.1,26,32,69,0,0,0
2026-01-01 00:00:02,56,5,0.1,0.1,25,31,71,0,0,0
2026-01-01 00:00:03,58,6,0.1,0.1,27,33,68,0,0,0
2026-01-01 00:00:04,55,5,0.1,0.1,24,30,70,0,0,0
2026-01-01 00:00:05,57,6,0.1,0.1,26,32,69,0,0,0
2026-01-01 00:00:06,56,5,0.1,0.1,25,31,71,0,0,0
2026-01-01 00:00:07,58,6,0.1,0.1,27,33,68,0,0,0
2026-01-01 00:00:08,55,5,0.1,0.1,24,30,70,0,0,0
2026-01-01 00:00:09,57,6,0.1,0.1,26,32,69,0,0,0
2026-01-01 00:00:10,56,5,0.1,0.1,25,31,71,0,0,0
2026-01-01 00:00:11,58,6,0.1,0.1,27,33,68,0,0,0
