timestamp,latency_ms,jitter_ms,packet_loss_rate,retransmission_rate,timeout_events,retry_events,throughput_mbps,dns_failure_events,tls_failure_events,quic_blocked_ratio
2026-01-01 00:00:00,380,75,0.2,0.3,4,18,58,0,0,0
2026-01-01 00:00:01,410,80,0.2,0.3,4,19,60,0,0,0
2026-01-01 00:00:02,395,78,0.1,0.2,5,17,57,0,0,0
2026-01-01 00:00:03,430,82,0.2,0.3,4,20,59,0,0,0
2026-01-01 00:00:04,405,79,0.2,0.2,5,18,61,0,0,0
2026-01-01 00:00:05,420,81,0.1,0.3,4,19,58,0,0,0
2026-01-01 00:00:06,390,77,0.2,0.2,5,17,60,0,0,0
2026-01-01 00:00:07,435,83,0.2,0.3,4,20,59,0,0,0
2026-01-01 00:00:08,400,78,0.1,0.2,5,18,61,0,0,0
2026-01-01 00:00:09,425,82,0.2,0.3,4,19,57,0,0,0
2026-01-01 00:00:10,392,76,0.2,0.2,5,17,60,0,0,0
2026-01-01 00:00:11,440,84,0.1,0.3,4,20,58,0,0,0
